number;type_car;make;rasp;plate_number;green_card;chassis;year;color;comment
1;Tractor Agricola;John Deere 5090E;K-0000765;TBR 032;1830801;1P05090ETET002253;2014;green;
2;Tractor Agricola;John Deere 5090E;K-0000766;TBR 033;1830820;1P05090EJET001978;2014;green;
3;Tractor Agricola;John Deere 5090E;K-0000767;TBR 027;1838987;1P05090ERET002322;2014;green;
4;Tractor Agricola;John Deere 5090E;K-0000768;TBR 040;1841210;1P05090ETDT001358;2014;green;
5;Tractor Agricola;John Deere 5090E;K-0000769;TBR 042;1841976;1P05090EVET002082;2014;green;
6;Tractor Agricola;John Deere 5090E;K-0000770;TBL 993;;1P05090EJDT001249;2014;green;
7;Tractor Agricola;John Deere 5090E;K-0000771;TBL 994;1831457;1P05090EJET002144;2014;green;
8;Tractor Agricola;John Deere 5090E;K-0000772;TBL 995;1831462;1P05090EPDT001250;2014;green;
9;Tractor Agricola;John Deere 6403;K-0000773;TBL 999;1832639;1P06409WVDT022672;2014;green;
10;Tractor Agricola;John Deere 6403;K-0000774;TBR 012;1834663;1P06403XCDT022677;2014;green;
11;Tractor Agricola;John Deere 6403;K-0000775;TBR 009;1833918;1POG403XLDT022674;2014;green;
12;Tractor Agricola;John Deere 6403;K-0000776;TBR 008;1833907;1P06403XEDT022676;2014;green;
13;Tractor Agricola;John Deere 6403;K-0000777;TBR 007;1833890;1P06403XVD T022669;2014;green;
14;Tractor Agricola;John Deere 6403;K-0000778;TBR 006;1833872;1P06403XDAT022673;2014;green;
15;Tractor Agricola;John Deere 6145J;K-0000779;TBL 991;1830607;1BM6145JEED003842;2014;green;
16;Tractor Agricola;John Deere 6145J;K-0000780;TBL 992;1831446;1BM6145JCDD003783;2014;green;
17;Tractor Agricola;John Deere 6403;K-0000781;TBR 426;2188141;1P06403XHET023262;2015;green;
18;Tractor Agricola;John Deere 6403;K-0000782;TBR 427;2188842;1P06403XCDT022671;2015;green;
19;Tractor Agricola;John Deere 6403;K-0000783;TBR428;2190938;1P06403XCET023250;2015;green;
20;Tractor Agricola;John Deere 6403;K-0000784;TBR429;2191339;1P06403XLET023261;2015;green;
21;Tractor Agricola;John Deere 6403;K-0000785;TBR430;2191343;1P06403XKET023026;2015;green;
22;Tractor Agricola;John Deere 6403;K-0000786;TBR431;2191346;1P06403XCET023210;2015;green;
23;Tractor Agricola;John Deere 6403;K-0000787;TBR432;2191348;1P06403XJDT022684;2015;green;
24;Tractor Agricola;John Deere 6403;K-0000788;TBR433;2191350;1P06403XJET023139;2015;green;
25;Tractor Agricola;John Deere 6403;K-0000789;TBR437;2195233;1P06403XKET023026;2015;green;
26;Tractor Agricola;John Deere 6403;K-0000790;TBR438;2198073;1P06403xaet023310;2015;green;
27;Tractor Agricola;Valtra A990/2016;K-0000791;TDV 126;2497532;AVTT2006LGM008791;2016;darkgoldenrod;
28;Tractor Agricola;Valtra A990/2016;K-0000792;TDV 189;2493573;AVTT2006LGM008788;2016;darkgoldenrod;
29;Tractor Agricola;Valtra A990/2016;K-0000793;TDV 092;2491574;AVTT2006CGM008780;2016;darkgoldenrod;
30;Tractor Agricola;Valtra A990/2016;K-0000794;TDV 102;2503721;AVTT2006LGM008789;2016;darkgoldenrod;
31;Tractor Agricola;Valtra A990/2016;K-0000795;TDV 183;2502916;AVTT2006AGM008787;2016;darkgoldenrod;
32;Tractor Agricola;Valtra A990/2016;K-0000796;TDV 087;2491181;AVTT2006VGM008786;2016;darkgoldenrod;
33;Tractor Agricola;Valtra A990/2016;K-0000797;TDV 181;2502713;AVTT2006KGM008784;2016;darkgoldenrod;
34;Tractor Agricola;Valtra A990/2016;K-0000798;TDV 127;2497533;AVTT2006VGM008783;2016;darkgoldenrod;
35;Tractor Agricola;Valtra A990/2016;K-0000799;TDV 123;2497346;AVTT2006PGM008782;2016;darkgoldenrod;
36;Tractor Agricola;Valtra A990/2016;K-0000800;TDV 124;2507676;AVTT2006TGM008781;2016;darkgoldenrod;
37;Tractor Agricola;Valtra  A990-4/2017;K-0000831;TDX 497;En Tramite;9AGT2006PHM009193;2017;darkgoldenrod;
38;Tractor Agricola;Valtra  A990-4/2017;K-0000830;TDX 505;En Tramite;AGT2006THM009192;2017;darkgoldenrod;
39;Tractor Agricola;Valtra  A990-4/2017;K-0000832;TDX 510;En Tramite;9AGT2006JHM009195;2017;darkgoldenrod;
40;Tractor Agricola;Valtra  A990-4/2017;K-0000833;TDX 509;En Tramite;AVTT2006EGM009104;2017;darkgoldenrod;
41;Tractor Agricola;Massey Ferguson;K-0000570;TDA 847;890279;275243076;2007;red;
42;Tractor Agricola;Massey Ferguson;K-0000571;TDA 887;894510;2752422773;2007;red;
50;Pala Cargadora;Fiat Allis Fr 12B;K-0000399;ADA 176;103231;R12B9TM01724;2001;orange;
51;Motoniveladora;Volvo G930;K-0000611;TDF 586;1158811;VCE0G930F00501434;2009;darkgoldenrod;
52;Retroexcavadora;JCB;K-0000610;TDF 589;1159291;9B9214T049BDT4968;2010;darkgoldenrod;
53;Retroexcavadora;John Deere 210 GLC;K-0000835;TBR 002;1832876;1FF210GXCED522449;2014;darkgoldenrod;
54;Retroexcavadora ;John Deere 310K;K-0000801;TBR 001;1832851;1T0310KXEDC247911;2014;darkgoldenrod;
55;Retroexcavadora;John Deere 210 GLC;K-0000802;TBR 379;2135775;1FF210GXJED522764;2014;darkgoldenrod;
56;Retroexcavadora;John Deere 210 GLC;K-0000803;TBR 380;2135795;1FF210GXJED522763;2014;darkgoldenrod;
57;Motoniveladora;Champion 720 A;K-0000252;TAY 019;21923;X027518X;1999;darkgoldenrod;
58;Compactador Vibratorio;Dinapac CA 150 D;K-0000690;TDE 522;1340587;10000104A0A006041;2011;darkgoldenrod;
59;Pala Cargadora;Volvo L60f;K-0000695;TDK 869;1461222;VCE0260FE0071712;2011;darkgoldenrod;
60;Retroexcavadora ;John Deere 310 K;K-0000804;TBR 818;;1BZ310KXAG000703;2016;darkgoldenrod;
61;Retroexcavadora ;John Deere 310 K;K-0000805;TBR 814;;1BZ310KXTG000708;2016;amarillo;
62;Minicargadora;John Deere 320 E;K-0000806;TBR 813;;1T0320EBAGG296449;2016;darkgoldenrod;
63;Niveladora;Volvo G930/2016;K-0000807;TDV 219;2509238;VCE0G930TF0503465;2016;darkgoldenrod;
64;Motoniveladora  ;Volvo G930/2016;K-0000808;TDV 764;2585961;VCE0BA30PF0503483;2015;darkgoldenrod;
